text,emojis
Economic Inequality,"['⚖️', '💸', '🚶‍♂️', '🏦']"
Wraith,"['👻', '⚫', '🪦', '🌫️']"
Air Pollution,"['🌫️', '🏭', '😷', '🌍']"
Literature,"['📚', '✍️', '🖋️', '📖']"
Graduation,"['🎓', '📜', '🎉', '🏅']"
History,"['📜', '🏰', '🗿', '🕰️']"
Banshee,"['👻', '🎤', '💨', '🌫️']"
Public Transportation,"['🚇', '🚍', '🚲', '🌱']"
Confusion,"['🤔', '😕', '❓', '💭', '🤷‍♂️']"
Speaking,"['🗣️', '💬', '🎤', '🗯️']"
Poltergeist,"['👻', '📦', '💥', '🕰️']"
World War II History,"['🪖', '✈️', '🚢', '🌍']"
Human Rights,"['✊', '🤝', '⚖️', '🕊️']"
Electricity,"['⚡', '💡', '🔌', '🏠']"
Giant Spider,"['🕷️', '🕸️', '👀', '⚔️']"
Magic Potion,"['⚗️', '🧪', '✨', '🍷']"
Curiosity,"['🤔', '🧐', '🔍', '❓', '📚']"
Ancient Greece,"['🏛️', '🏺', '⚖️', '🏟️']"
Parental Love,"['👨‍👩‍👧‍👦', '🤱', '👶', '❤️', '🫂']"
Pharaohs,"['🔺', '🏺', '👑', '🐫']"
University,"['🎓', '🏛️', '📚', '👩‍🎓']"
Great Wall of China,"['🏯', '🧱', '🏞️', '🐉']"
Deforestation Rates in the Amazon,"['🌳', '🪓', '🌍', '🇧🇷']"
Science Lab Safety Workshop,"['🔬', '🧪', '⚠️', '🏫']"
Physics,"['⚛️', '🧲', '📐', '🔭']"
Pet Boarding,"['🏨', '🐾', '🐕']"
Embarrassment,"['😳', '🙈', '😶‍🌫️', '😬', '🫢']"
Respect,"['🙇‍♂️', '🙏', '🎖️', '🤝', '🫡']"
Guinea Pigs,"['🐹', '🥬', '🏡']"
Mobile Learning,"['📱', '🎓', '🎧', '☁️']"
Exam,"['📝', '✅', '❓', '🕐']"
Nostalgia,"['🕰️', '🌅', '📸', '😌', '💭']"
World War I,"['⚔️', '🪖', '🏟️', '🌍']"
Online Learning,"['💻', '🎧', '🌐', '🧑‍💻']"
Anxiety,"['😟', '🫤', '😰', '💭', '🌀']"
Information Age,"['💻', '🌐', '📱', '🤖']"
Economy,"['🌍', '💰', '📈', '📉']"
